Number;Name;Released_date;Retired_date;Retail;Value
41140-1;Daisy's Beauty Salon;02.01.2016;01.12.2016;9.99;13.02
41141-1;Pumpkin's Royal Carriage;02.01.2016;11.12.2016;9.99;23.49
41142-1;Palace Pets Royal Castle;02.01.2016;27.11.2017;19.99;43.96
60113-1;Rally Car;02.12.2015;20.11.2016;9.99;16.46
60114-1;Race Boat;02.12.2015;10.01.2017;9.99;17.37
60118-1;Garbage Truck;02.12.2015;20.11.2016;19.99;68.93
60120-1;Volcano Starter Set;01.08.2016;11.12.2017;9.99;17.49
60121-1;Volcano Exploration Truck;22.05.2016;31.08.2016;19.99;30.76
60122-1;Volcano Crawler;22.05.2016;11.12.2017;29.99;43.96
60123-1;Volcano Supply Helicopter;22.05.2016;31.08.2016;49.99;63.93
60124-1;Volcano Exploration Base;01.08.2016;17.01.2018;119.99;142.16
60125-1;Volcano Heavy-Lift Helicopter;01.08.2016;19.08.2017;129.99;231.48
60134-1;Fun in the Park City People Pack;22.05.2016;21.11.2017;39.99;42.72
70588-1;Titanium Ninja Tumbler;01.08.2016;17.12.2017;29.99;73.08
70589-1;Rock Roader;01.08.2016;19.11.2017;39.99;86.97
70590-1;Airjitzu Battle Grounds;01.08.2016;19.05.2017;59.99;98.64
70591-1;Kryptarium Prison Breakout;01.08.2016;19.11.2017;19.99;41.38
70592-1;Salvage M.E.C.;01.08.2016;25.11.2017;39.99;66.87
70593-1;The Green NRG Dragon;01.08.2016;12.11.2017;49.99;92.29
70594-1;The Lighthouse Siege;01.08.2016;25.11.2017;61.59;175.19
70595-1;Ultra Stealth Raider;01.08.2016;25.11.2017;119.99;358.74
70596-1;Samurai X Cave Chaos;01.08.2016;22.11.2017;119.99;315.15
70599-1;Cole's Dragon;01.03.2016;03.11.2016;9.99;35.07
70600-1;Ninja Bike Chase;01.03.2016;04.07.2017;19.99;52.47
70601-1;Sky Shark;01.03.2016;29.07.2017;19.99;42.76
70602-1;Jay's Elemental Dragon;01.03.2016;15.05.2017;34.99;128.69
70603-1;Raid Zeppelin;01.03.2016;04.07.2017;32.99;95.92
70604-1;Tiger Widow Island;01.03.2016;11.07.2017;49.99;105.70
70605-1;Misfortune's Keep;01.03.2016;11.08.2017;89.99;218.82
71040-1;Disney World Cinderella Castle;06.10.2016;10.12.2022;349.99;308.32
75113-1;Rey;02.01.2016;02.05.2017;19.99;21.96
75114-1;First Order Stormtrooper;02.01.2016;16.03.2018;19.99;35.98
75115-1;Poe Dameron;02.01.2016;12.04.2017;24.99;29.38
75116-1;Finn;02.01.2016;31.03.2018;24.99;25.27
75117-1;Kylo Ren;02.01.2016;23.08.2018;24.99;33.67
75118-1;Captain Phasma;02.01.2016;25.11.2017;24.99;35.19
75125-1;Resistance X-wing Fighter;01.03.2016;15.11.2017;9.99;14.07
75126-1;First Order Snowspeeder;02.01.2016;25.11.2017;9.99;10.16
75127-1;The Ghost;01.03.2016;02.12.2016;9.99;39.77
75128-1;TIE Advanced Prototype;01.03.2016;28.11.2017;9.99;15.82
75129-1;Wookiee Gunship;01.03.2016;25.11.2017;9.99;17.56
75130-1;AT-DP;01.03.2016;26.11.2016;9.99;17.38
75131-1;Resistance Trooper Battle Pack;02.01.2016;25.11.2017;16.99;18.78
75132-1;First Order Battle Pack;02.01.2016;24.11.2017;16.99;16.47
75133-1;Rebel Alliance Battle Pack;01.03.2016;21.11.2016;16.99;33.14
75134-1;Galactic Empire Battle Pack;01.03.2016;07.11.2016;16.99;43.96
75135-1;Obi-Wan's Jedi Interceptor;01.03.2016;02.12.2016;29.99;118.80
75136-1;Droid Escape Pod;01.03.2016;26.11.2016;29.99;31.17
75137-1;Carbon-Freezing Chamber;01.03.2016;24.11.2017;29.99;46.32
75138-1;Hoth Attack;01.03.2016;28.11.2016;29.99;70.35
75139-1;Battle on Takodana;02.01.2016;20.12.2017;59.99;58.96
75140-1;Resistance Troop Transporter;02.01.2016;05.12.2016;69.99;68.71
75141-1;Kanan's Speeder Bike;01.03.2016;05.05.2017;29.99;61.88
75142-1;Homing Spider Droid;01.03.2016;05.06.2017;39.99;144.36
75145-1;Eclipse Fighter;01.06.2016;28.11.2017;39.99;44.00
75147-1;Star Scavenger;01.06.2016;14.12.2017;59.99;62.23
75148-1;Encounter on Jakku;01.06.2016;31.03.2018;69.99;51.73
75149-1;Resistance X-wing Fighter;01.06.2016;07.12.2017;89.99;95.11
75150-1;Vader's TIE Advanced vs. A-wing Fighter;01.06.2016;01.12.2016;109.99;157.89
75151-1;Clone Turbo Tank;01.06.2016;28.11.2017;119.99;330.93
75157-1;Captain Rex's AT-TE;01.06.2016;27.11.2017;119.99;251.36
75870-1;Chevrolet Corvette Z06;01.03.2016;11.12.2017;14.99;74.80
75871-1;Ford Mustang GT;01.03.2016;31.12.2017;14.99;82.48
75872-1;Audi R18 E-tron Quattro;01.03.2016;30.01.2018;14.99;55.76
75873-1;Audi R8 LMS Ultra;01.03.2016;28.01.2018;14.99;70.19
75874-1;Chevrolet Camaro Drag Race;01.03.2016;14.12.2017;34.99;115.46
75875-1;Ford F-150 Raptor & Ford Model A Hot Rod;01.03.2016;09.12.2017;49.99;173.40
75876-1;Porsche 919 Hybrid and 917K Pit Lane;01.03.2016;16.12.2017;79.99;167.20
853543-1;Ninjago Party Set;02.01.2016;30.07.2016;6.99;10.56
853556-1;Friends Mini-Doll Campsite;01.03.2016;03.10.2018;12.99;16.39
5004391-1;Sky Pirates Battle;01.01.2016;01.01.2018;0.00;15.29
6176782-1;Escape the Space Slug;30.04.2016;30.09.2016;0.00;240.30
911607-1;Millennium Falcon;01.01.2016;01.02.2016;0.00;6.07
911608-1;Landspeeder;01.01.2016;01.02.2016;0.00;3.44
911609-1;Naboo Starfighter;01.03.2016;01.04.2016;0.00;4.03
911611-1;AAT;01.01.2016;01.02.2016;0.00;4.47
10246-1;Detective's Office;01.01.2015;22.03.2018;149.99;362.56
10687-1;Spider-Man Hideout;18.05.2015;08.11.2017;34.99;39.53
10692-1;Creative Bricks;01.01.2015;01.01.2023;14.99;17.60
10693-1;Creative Supplement;01.01.2015;08.01.2019;19.99;19.71
10694-1;Creative Supplement Bright;01.01.2015;04.12.2017;19.99;22.91
10695-1;Creative Building Box;13.01.2015;26.12.2016;24.99;108.32
10696-1;Medium Creative Brick Box;01.01.2015;13.03.2025;29.99;30.79
10697-1;XXXL Box;01.06.2015;24.12.2016;59.99;115.75
10698-1;Large Creative Brick Box;01.01.2015;13.03.2025;44.99;52.79
21022-1;Lincoln Memorial;01.01.2015;05.12.2016;29.99;123.58
21023-1;Flatiron Building. New York;02.05.2015;20.12.2016;39.99;79.68
21024-1;Louvre;02.09.2015;24.11.2017;59.99;119.69
21119-1;The Dungeon;02.08.2015;25.11.2017;19.99;35.19
21120-1;The Snow Hideout;02.08.2015;20.11.2017;39.99;52.43
21121-1;The Desert Outpost;02.08.2015;28.11.2017;69.99;82.74
21122-1;The Nether Fortress;02.08.2015;25.11.2017;89.99;122.50
21301-1;Birds;01.01.2015;05.01.2016;44.99;127.93
21302-1;The Big Bang Theory;02.08.2015;16.12.2016;59.99;175.30
21303-1;WALL-E;25.09.2015;20.11.2016;49.99;239.06
21304-1;Doctor Who;02.12.2015;20.11.2016;59.99;166.78
30202-1;Smoothie Stand;21.02.2015;21.02.2017;3.99;4.68
30203-1;Mini Golf;01.01.2015;01.01.2017;3.51;4.52
30204-1;Wish Fountain;01.01.2015;01.01.2017;3.99;4.40
30205-1;Pop Star Red Carpet;01.08.2015;30.09.2015;4.39;7.89
30272-1;A-Wing Starfighter;01.01.2015;01.01.2017;3.99;5.67
30274-1;AT-DP;01.01.2015;01.01.2017;3.99;5.54
30275-1;TIE Advanced Prototype;01.03.2015;01.05.2015;0.00;4.07
30276-1;First Order Special Forces TIE Fighter;01.12.2015;01.12.2017;3.51;4.95
30283-1;Off-Road;01.01.2015;01.05.2015;3.99;3.77
30284-1;Tractor;01.09.2015;30.09.2015;4.39;6.26
30285-1;Tiger;21.09.2015;21.09.2017;3.99;5.05
30291-1;Anacondrai Battle Mech;01.01.2015;01.01.2017;3.99;6.58
30292-1;Jay's Nano Mech;01.01.2015;01.01.2017;3.99;7.56
30293-1;Kai Drifter;01.04.2015;30.04.2015;4.39;4.75
30294-1;The Cowler Dragon;01.01.2015;01.01.2017;4.39;11.62
30314-1;Go-Kart Racer;01.02.2015;01.05.2015;3.99;5.07
30315-1;Space Utility Vehicle;01.06.2015;01.10.2016;3.51;6.78
40140-1;Flower Cart;01.01.2015;05.01.2015;4.39;16.44
40156-1;Organiser;01.06.2015;01.04.2017;14.99;25.42
41060-1;Sleeping Beauty's Royal Bedroom;01.01.2015;27.12.2015;12.99;28.98
41061-1;Jasmine's Exotic Palace;01.01.2015;10.12.2016;24.99;31.20
41063-1;Ariel's Undersea Palace;01.01.2015;12.11.2016;59.99;120.89
41085-1;Vet Clinic;01.01.2015;27.11.2015;19.99;42.27
41086-1;Vet Ambulance;01.01.2015;27.11.2015;9.99;15.88
41087-1;Bunny & Babies;02.01.2015;16.10.2015;4.99;12.22
41088-1;Puppy Training;02.01.2015;19.12.2015;4.99;10.30
41089-1;Little Foal;02.01.2015;18.01.2016;4.99;8.93
41090-1;Olivia's Garden Pool;01.01.2015;19.10.2015;9.99;14.94
41091-1;Mia's Roadster;01.01.2015;07.12.2015;14.99;22.10
41092-1;Stephanie's Pizzeria;01.01.2015;27.11.2015;9.99;14.19
41093-1;Heartlake Hair Salon;01.01.2015;13.12.2016;32.99;29.41
41094-1;Heartlake Lighthouse;01.01.2015;10.11.2016;39.99;47.95
41095-1;Emma's House;01.01.2015;21.11.2016;69.99;123.04
41097-1;Heartlake Hot Air Balloon;01.01.2015;11.02.2017;29.99;26.40
41098-1;Emma's Tourist Kiosk;08.08.2015;11.01.2016;6.99;11.43
41099-1;Heartlake Skate Park;02.08.2015;29.11.2016;19.99;39.49
41100-1;Heartlake Private Jet;02.08.2015;12.12.2016;24.99;87.89
41101-1;Heartlake Grand Hotel;02.08.2015;24.11.2017;129.99;204.86
41103-1;Pop Star Recording Studio;02.08.2015;26.11.2016;14.99;24.01
41104-1;Pop Star Dressing Room;02.08.2015;28.11.2016;29.99;62.92
41105-1;Pop Star Show Stage;02.08.2015;19.12.2016;44.99;50.64
41106-1;Pop Star Tour Bus;02.08.2015;25.11.2016;59.99;108.45
41107-1;Pop Star Limousine;02.08.2015;30.01.2017;24.99;66.13
41108-1;Heartlake Food Market;02.08.2015;12.12.2016;39.99;65.66
41109-1;Heartlake City Airport;02.08.2015;11.12.2016;89.99;131.03
60077-1;Space Starter Set;18.05.2015;30.11.2016;9.99;14.74
60078-1;Utility Shuttle;18.05.2015;01.11.2016;19.99;33.71
60079-1;Training Jet Transporter;18.05.2015;30.11.2016;49.99;59.66
60080-1;Spaceport;19.05.2015;29.11.2016;89.99;140.76
60084-1;Racing Bike Transporter;01.01.2015;11.11.2016;19.99;31.02
60086-1;LEGO City Starter Set;01.03.2015;16.12.2015;24.99;31.97
60090-1;Deep Sea Scuba Scooter;19.05.2015;24.12.2016;5.99;14.78
60091-1;Deep Sea Starter Set;18.05.2015;02.12.2016;9.99;26.22
60092-1;Deep Sea Submarine;18.05.2015;02.12.2016;29.99;81.81
60093-1;Deep Sea Helicopter;18.05.2015;27.11.2016;49.99;78.03
60095-1;Deep Sea Exploration Vessel;18.05.2015;10.12.2016;99.99;185.64
60096-1;Deep Sea Operation Base;02.08.2015;11.12.2016;79.99;124.04
70730-1;Chain Cycle Ambush;02.08.2015;27.10.2016;29.99;122.05
70731-1;Jay Walker One;02.08.2015;05.06.2017;39.99;113.47
70732-1;City of Stiix;02.08.2015;11.02.2017;99.99;320.02
70733-1; Blaster Bike;02.08.2015;26.11.2016;19.99;72.93
70734-1;Master Wu Dragon;02.08.2015;01.12.2016;49.99;101.75
70735-1;Ronin R.E.X.;02.08.2015;18.12.2016;49.99;96.80
70736-1;Attack of the Morro Dragon;02.08.2015;27.11.2016;69.99;285.87
70737-1;Titan Mech Battle;02.08.2015;21.11.2016;54.99;204.20
70738-1;Final Flight of Destiny's Bounty;02.08.2015;04.12.2016;119.99;251.96
70739-1;Airjitzu Kai Flyer;23.06.2015;26.11.2016;9.99;62.24
70740-1;Airjitzu Jay Flyer;23.06.2015;27.11.2016;9.99;36.28
70741-1;Airjitzu Cole Flyer;23.06.2015;07.01.2017;9.99;30.66
70742-1;Airjitzu Zane Flyer;23.06.2015;07.01.2017;9.99;26.36
70743-1;Airjitzu Morro Flyer;23.06.2015;09.02.2017;9.99;81.23
70744-1;Airjitzu Wrayth Flyer;23.06.2015;02.04.2017;9.99;22.65
70745-1;Anacondrai Crusher;01.03.2015;30.11.2015;19.99;62.50
70746-1;Condrai Copter Attack;01.03.2015;01.07.2016;29.99;65.96
70747-1;Boulder Blaster;01.03.2015;17.08.2016;34.99;52.80
70748-1;Titanium Dragon;01.03.2015;06.08.2016;39.99;100.86
70749-1;Enter the Serpent;01.03.2015;07.07.2016;49.99;140.80
70750-1;Ninja DB X;01.03.2015;17.04.2016;79.99;255.70
70751-1;Temple of Airjitzu;02.09.2015;13.03.2017;199.99;377.67
70752-1;Jungle Trap;01.03.2015;27.12.2015;6.99;24.53
70753-1;Lava Falls;01.03.2015;05.11.2015;9.99;48.48
70754-1;ElectroMech;01.03.2015;11.11.2015;14.99;70.71
70755-1;Jungle Raider ;01.03.2015;13.06.2016;19.99;52.80
70756-1;Dojo Showdown;01.03.2015;10.07.2016;24.99;170.19
75072-1;ARC-170 Starfighter;01.01.2015;22.11.2015;9.99;35.19
75073-1;Vulture Droid;01.01.2015;28.11.2015;9.99;23.01
75074-1;Snowspeeder;01.01.2015;28.11.2016;9.99;14.94
75075-1;AT-AT;01.01.2015;16.12.2016;9.99;14.37
75076-1;Republic Gunship;01.01.2015;02.11.2015;9.99;36.02
75077-1;Homing Spider Droid;01.01.2015;27.11.2015;9.99;21.63
75078-1;Imperial Troop Transport;01.01.2015;05.12.2016;16.99;28.46
75079-1;Shadow Troopers;01.01.2015;20.12.2016;16.99;30.10
75080-1;AAT;01.01.2015;13.12.2015;29.99;70.39
75081-1;T-16 Skyhopper;01.01.2015;27.11.2015;29.99;39.60
75082-1;TIE Advanced Prototype;01.01.2015;26.11.2016;49.99;123.18
75083-1;AT-DP;01.01.2015;20.11.2015;59.99;133.76
75084-1;Wookiee Gunship;01.01.2015;29.11.2015;69.99;163.68
75085-1;Hailfire Droid;08.01.2015;10.01.2017;26.99;143.73
75086-1;Battle Droid Troop Carrier;01.01.2015;28.11.2016;49.99;180.67
75087-1;Anakin's Custom Jedi Starfighter;01.01.2015;10.12.2016;49.99;203.94
75088-1;Senate Commando Troopers;01.01.2015;02.01.2017;16.99;60.90
75089-1;Geonosis Troopers;01.01.2015;27.11.2016;16.99;71.43
75090-1;Ezra's Speeder Bike;01.01.2015;14.12.2015;18.89;77.64
75091-1;Flash Speeder;01.06.2015;10.01.2017;39.99;52.25
75092-1;Naboo Starfighter;01.06.2015;03.12.2016;64.99;176.29
75093-1;Death Star Final Duel;01.06.2015;18.12.2016;89.99;97.82
75094-1;Imperial Shuttle Tydirium;01.06.2015;19.12.2016;99.99;170.35
75096-1;Sith Infiltrator;02.08.2015;06.12.2016;99.99;221.65
75099-1;Rey's Speeder;05.09.2015;25.11.2017;26.99;23.81
75100-1;First Order Snowspeeder;05.09.2015;03.12.2016;49.99;44.35
75101-1;First Order Special Forces TIE Fighter;05.09.2015;11.12.2017;69.99;86.96
75102-1;Poe's X-wing Fighter;05.09.2015;05.07.2018;89.99;116.03
75103-1;First Order Transporter;05.09.2015;20.12.2016;99.99;158.40
75104-1;Kylo Ren's Command Shuttle;05.09.2015;08.01.2018;119.99;111.07
75105-1;Millennium Falcon;05.09.2015;20.11.2017;149.99;140.93
75106-1;Imperial Assault Carrier;01.06.2015;17.12.2016;129.99;290.48
75109-1;Obi-Wan Kenobi;05.09.2015;04.01.2017;24.99;40.53
75110-1;Luke Skywalker;05.09.2015;02.01.2017;19.99;25.70
75111-1;Darth Vader;05.09.2015;25.11.2017;29.99;48.96
75899-1;LaFerrari;01.03.2015;04.12.2016;14.99;70.40
75900-1;Mummy Museum Mystery;08.08.2015;30.01.2017;14.99;65.17
75901-1;Mystery Plane Adventures;05.09.2015;28.10.2016;24.99;83.59
75902-1;The Mystery Machine;29.08.2015;31.10.2016;34.99;172.35
75903-1;Haunted Lighthouse;02.08.2015;30.10.2016;49.99;146.14
75904-1;Mystery Mansion;08.08.2015;11.11.2016;89.99;260.74
75908-1;458 Italia GT2;01.03.2015;21.11.2016;14.99;53.86
75909-1;McLaren P1;01.03.2015;06.01.2017;14.99;70.36
75910-1;Porsche 918 Spyder;01.03.2015;21.11.2016;14.99;79.20
75911-1;McLaren Mercedes Pit Stop;01.03.2015;18.09.2016;34.99;101.76
75912-1;Porsche 911 GT Finish Line;01.03.2015;21.11.2016;49.99;115.29
75913-1;F14 T & Scuderia Ferrari Truck;01.03.2015;21.11.2016;99.99;266.56
851342-1;Ninja Army Building Set;02.09.2015;15.02.2017;12.99;23.96
851362-1;Party Set;01.06.2015;04.05.2017;6.99;35.14
5002919-1;Scenery and Dagger Trap;01.01.2015;01.01.2017;0.00;9.13
5002929-1;Friends Interior Design Kit;01.01.2015;01.01.2017;4.39;6.52
CELEB2015-1;Tatooine Mini Build;16.04.2015;20.04.2015;39.99;366.70
891504-1;Weapons Rack;01.07.2015;30.07.2015;0.00;5.22
SDCC2015-2;San Diego Comic-Con 2015 Dagobah Mini Build;12.07.2015;21.07.2015;35.20;441.43
TRUNINJAGO-2;Micro Electromech Robot;16.05.2015;16.05.2015;0.00;14.00
TRUNINJAGO-4;Micro Morro Dragon;30.05.2015;30.05.2015;0.00;5.41
10243-1;Parisian Restaurant;02.01.2014;01.01.2020;149.99;286.03
10665-1;Spider-Man: Spider-Car Pursuit;18.02.2014;25.11.2015;12.99;26.83
21019-1;The Eiffel Tower;02.01.2014;11.12.2018;34.99;86.41
21020-1;Trevi Fountain;01.05.2014;14.11.2016;49.99;182.21
21104-1;NASA Mars Science Laboratory Curiosity Rover;10.01.2014;14.04.2014;29.99;368.48
21107-1;The End;03.06.2014;26.01.2015;34.99;53.03
21108-1;Ghostbusters Ecto-1;03.06.2014;02.11.2016;49.99;98.67
21109-1;Exo-Suit;28.12.2014;26.08.2015;24.49;60.90
21110-1;Research Institute;02.08.2014;14.12.2014;19.99;38.84
21113-1;The Cave;16.11.2014;07.11.2017;19.99;35.67
21114-1;The Farm;16.11.2014;15.12.2016;29.99;44.38
21115-1;The First Night;16.11.2014;26.11.2016;39.99;99.51
21116-1;Crafting Box;16.11.2014;20.11.2016;54.99;79.20
21117-1;The Ender Dragon;16.11.2014;20.12.2016;69.99;184.40
21118-1;The Mine;16.11.2014;26.12.2015;99.99;260.53
30112-1;Emma's Flower Stand;01.03.2014;15.05.2015;4.39;5.57
30113-1;Stephanie's Bakery Stand;27.12.2013;20.04.2014;0.00;4.70
30114-1;Andrea's Beach Lounge ;01.01.2014;01.01.2016;0.00;6.59
30115-1;Jungle Boat;01.01.2014;01.01.2016;4.39;4.92
30116-1;Rapunzel's Market Visit;01.01.2014;01.01.2016;3.51;4.78
30187-1;Fast Car;01.01.2014;01.01.2016;3.51;4.42
30188-1;Cute Kitten ;14.05.2014;14.05.2016;0.00;6.79
30189-1;Transport Plane  ;01.01.2014;01.01.2016;0.00;3.92
30244-1;Anakin's Jedi Interceptor;01.01.2014;01.09.2014;3.95;11.38
30246-1;Imperial Shuttle;01.02.2014;30.07.2014;3.51;6.12
30247-1;ARC-170 Starfighter;01.05.2014;30.08.2014;3.51;7.60
40108-1;Balloon Cart;01.05.2014;15.06.2014;4.39;17.59
40109-1;MINI Cooper Mini Model;01.07.2014;01.08.2014;0.00;23.94
40112-1;Catwalk Phone Stand;03.06.2014;08.04.2015;6.49;15.00
41026-1;Sunshine Harvest;02.01.2014;05.11.2015;19.99;24.90
41027-1;Mia's Lemonade Stand;02.01.2014;26.12.2014;9.99;15.93
41028-1;Emma's Lifeguard Post;02.01.2014;07.06.2015;6.99;14.48
41029-1;Stephanie's New Born Lamb;02.01.2014;14.01.2015;9.99;13.27
41030-1;Olivia's Ice Cream Bike;02.08.2014;08.06.2015;6.99;14.92
41031-1;Andrea's Mountain Hut;02.08.2014;02.12.2014;9.99;12.50
41032-1;First Aid Jungle Bike;02.08.2014;30.11.2015;10.49;17.59
41033-1;Jungle Falls Rescue;02.08.2014;30.11.2015;19.99;35.11
41034-1;Summer Caravan;02.08.2014;17.10.2015;24.99;31.06
41035-1;Heartlake Juice Bar;02.01.2014;28.11.2015;32.99;32.20
41036-1;Jungle Bridge Rescue;02.08.2014;27.11.2015;29.99;32.23
41037-1;Stephanie's Beach House;02.01.2014;17.10.2015;39.99;69.02
41038-1;Jungle Rescue Base;02.08.2014;29.11.2015;49.99;105.10
41039-1;Sunshine Ranch;02.01.2014;11.11.2015;69.99;124.25
41041-1;Turtle's Little Paradise;02.04.2014;04.10.2014;3.99;7.88
41042-1;Tiger's Beautiful Temple;02.04.2014;04.10.2014;3.99;7.05
41043-1;Penguin's Playground;02.04.2014;03.10.2014;3.99;8.84
41044-1;Macaw's Fountain;02.05.2014;29.11.2014;3.99;5.32
41045-1;Orangutan's Banana Tree;02.05.2014;25.11.2014;3.99;6.34
41047-1;Seal's Little Rock;10.11.2014;14.01.2015;3.99;5.19
41048-1;Lion Cub's Savanna;10.11.2014;14.01.2015;3.99;6.72
41049-1;Panda's Bamboo;15.10.2014;15.01.2015;3.99;8.95
41050-1;Ariel's Amazing Treasures;02.01.2014;09.01.2015;12.99;23.14
41051-1;Merida's Highland Games;02.01.2014;11.12.2014;19.99;63.45
41052-1;Ariel's Magical Kiss;02.01.2014;11.12.2015;29.99;43.99
41053-1;Cinderella's Dream Carriage;02.01.2014;22.12.2015;29.99;33.30
41054-1;Rapunzel's Creativity Tower;02.01.2014;26.12.2015;39.99;75.57
41055-1;Cinderella's Romantic Castle;02.01.2014;06.12.2016;69.99;105.17
41056-1;Heartlake News Van;02.01.2014;07.12.2015;24.99;30.80
41057-1;Heartlake Horse Show;02.01.2014;30.11.2015;39.99;111.75
41058-1;Heartlake Shopping Mall;02.08.2014;27.11.2015;99.99;130.17
41059-1;Jungle Tree Sanctuary;02.08.2014;05.12.2015;29.99;52.80
60053-1;Race Car;02.12.2013;21.12.2015;9.99;16.58
60054-1;Light Repair Truck;02.12.2013;27.12.2014;9.99;28.20
60055-1;Monster Truck;02.12.2013;07.12.2015;9.99;13.06
60056-1;Tow Truck;02.12.2013;09.12.2014;19.99;76.84
60057-1;Camper Van;02.12.2013;22.10.2015;19.99;43.99
60058-1;SUV with Watercraft;02.12.2013;27.12.2014;19.99;37.27
60059-1;Logging Truck;02.12.2013;15.12.2014;19.99;87.00
70720-1;Hover Hunter;02.12.2013;23.05.2015;9.99;33.43
70721-1;Kai Fighter;02.12.2013;17.02.2015;19.99;61.68
70722-1;OverBorg Attack;02.12.2013;18.02.2015;19.99;55.02
70723-1;Thunder Raider;02.12.2013;28.02.2015;29.99;130.39
70724-1;NinjaCopter;02.12.2013;10.03.2015;49.99;154.00
70725-1;Nindroid MechDragon;02.12.2013;20.03.2015;79.99;142.37
70726-1;Destructoid;02.01.2014;14.11.2015;29.99;133.23
70727-1;X-1 Ninja Charger;27.05.2014;09.06.2015;39.99;147.67
70728-1;Battle for Ninjago City;27.05.2014;02.08.2015;76.99;242.93
75028-1;Clone Turbo Tank;18.02.2014;05.05.2015;8.99;66.45
75029-1;AAT;18.02.2014;21.01.2015;9.99;25.60
75030-1;Millennium Falcon;18.02.2014;04.05.2015;6.99;21.47
75031-1;TIE Interceptor;18.02.2014;03.05.2015;6.99;21.98
75032-1;X-Wing Fighter;18.02.2014;02.05.2015;6.99;28.26
75033-1;Star Destroyer;18.02.2014;24.01.2015;9.99;18.08
75034-1;Death Star Troopers;18.02.2014;29.10.2015;11.89;28.22
75035-1;Kashyyyk Troopers;18.02.2014;28.10.2015;11.89;84.37
75036-1;Utapau Troopers;18.02.2014;26.10.2015;11.89;90.24
75037-1;Battle on Saleucami;18.02.2014;12.11.2015;19.99;74.80
75038-1;Jedi Interceptor;18.02.2014;18.10.2015;29.99;88.00
75039-1;V-Wing Starfighter;18.02.2014;28.11.2014;29.99;123.86
75040-1;General Grievous' Wheel Bike;18.02.2014;30.11.2015;29.99;105.76
75041-1;Vulture Droid;15.01.2014;15.02.2015;29.99;133.89
75042-1;Droid Gunship;18.02.2014;21.11.2015;49.99;113.92
75043-1;AT-AP;18.02.2014;28.10.2015;69.99;149.59
75044-1;Droid Tri-Fighter;18.02.2014;26.12.2015;39.99;126.22
75045-1;Republic AV-7 Anti-Vehicle Cannon;18.02.2014;08.12.2015;49.99;295.65
75046-1;Coruscant Police Gunship;18.02.2014;14.12.2015;59.99;325.87
75048-1;The Phantom;02.08.2014;28.10.2015;29.99;120.49
75049-1;Snowspeeder;02.08.2014;05.12.2015;39.99;106.54
75050-1;B-Wing;02.08.2014;21.11.2015;29.99;154.84
75051-1;Jedi Scout Fighter;02.08.2014;27.11.2015;69.99;173.12
75052-1;Mos Eisley Cantina;27.08.2014;16.11.2015;79.99;114.40
75053-1;The Ghost;02.08.2014;28.11.2015;99.99;529.06
75054-1;AT-AT;02.08.2014;17.11.2015;119.99;148.72
75055-1;Imperial Star Destroyer;02.08.2014;28.10.2015;129.99;305.33
850967-1;Jungle Accessory Set;02.08.2014;21.03.2015;12.99;13.20
5002113-1;Beach Hammock;01.01.2014;01.01.2016;0.00;7.65
COMCON039-1;San Diego Comic-Con The Ghost Starship;24.07.2014;27.07.2014;39.99;845.79
FANEXPO001-1;FAN EXPO The Ghost Starship;28.08.2014;31.08.2014;0.00;671.23
561408-1;Beach Scene;01.01.2014;01.02.2014;0.00;3.16
561409-1;Kitchen with Oven;01.01.2014;01.02.2014;0.00;3.49
561410-1;Halloween Shop;01.01.2014;01.02.2014;0.00;3.56
TRUGHOST-1;The Ghost Micro-Model;01.10.2014;01.10.2014;0.00;17.64
10232-1;Palace Cinema;01.03.2013;24.11.2017;139.99;298.09
21015-1;The Leaning Tower of Pisa;01.06.2013;26.12.2015;34.99;149.59
21017-1;Imperial Hotel;01.03.2013;19.12.2015;119.99;159.02
21018-1;United Nations Headquarters;02.10.2013;26.12.2015;49.99;109.45
21021-1;Marina Bay Sands;01.01.2013;01.01.2015;65.99;912.35
21050-1;Architecture Studio;01.08.2013;20.12.2017;159.99;338.67
21103-1;The DeLorean Time Machine;01.08.2013;30.12.2014;39.99;122.02
30106-1;Ice Cream Stand;01.01.2013;01.05.2013;4.39;5.54
30107-1;Birthday Party;01.01.2013;01.01.2015;0.00;5.42
30108-1;Summer Picnic;01.01.2013;01.04.2014;0.00;3.77
30183-1;Little Car;03.06.3013;;3.51;4.56
30184-1;Little Helicopter;01.01.2013;01.01.2015;3.51;6.81
30185-1;Little Eagle;01.01.2013;01.01.2015;3.51;13.49
30224-1;Ride-On Lawn Mower;01.07.2013;01.08.2013;0.00;30.66
30240-1;Z-95 Headhunter;01.01.2013;01.08.2013;4.39;5.77
30241-1;Mandalorian Fighter;01.01.2013;01.02.2013;4.39;11.47
30242-1;Republic Frigate;01.03.2013;15.03.2013;0.00;14.05
30243-1;Umbaran MHC;01.02.2013;01.12.2013;4.39;6.59
40078-1;Hot Dog Stand;03.10.2013;17.10.2013;0.00;10.10
40079-1;Mini VW T1 Camper Van;15.09.2013;29.09.2013;0.00;37.06
40080-1;Friends Pencil Holder;01.03.2013;06.02.2016;6.49;25.16
41000-1;Water Scooter Fun;11.12.2012;29.11.2014;5.99;8.39
41001-1;Mia's Magic Tricks;13.12.2012;29.11.2013;9.99;11.86
